commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
15e1f17bb6f3f978787dd23da0268388148bc3d5,2024-07-29 08:49:17,1211,20,116,22,158,1167,
01353d3b4afe3afa838f8f5c08e5f30a5b50cb05,2024-07-23 04:28:03,1211,20,116,22,158,1167,
4e383642a9ebb82a67eaeed199d0fbbb31991e3c,2024-07-18 10:20:38,1211,20,116,22,158,1167,
f8aa36b92d95e6d2f133489f39f9d5c2412f1bd9,2024-07-01 18:08:04,1211,20,116,22,158,1167,
0e322af87745eff34caffe4df68456ebc20d9068,2024-05-29 08:36:10,1211,20,116,22,158,1167,
e18879932287c2bf4bcee4ddf6ccb8a69b6fc656,2024-05-29 08:23:39,1211,20,116,22,158,1167,
b1d73ddb509a3a2d3e10744e85f9cdebdbde90f0,2024-05-24 11:38:10,1211,20,116,22,158,1167,
6badbac6e0d6b5a53872f26401761ad37a9002b8,2024-05-24 11:38:06,1211,20,116,22,158,1167,
2e1452234d8a3240aa27fc5fa5db93d53d799c25,2024-05-23 11:51:07,1211,20,116,22,158,1167,
a62a2d35d918baa8e793f7aa4fb41527644dfca5,2024-05-22 06:53:24,1211,20,116,22,158,1167,
88dce9d854797c05d0ff296b70e0430535ef8aaf,2024-05-21 11:49:22,1211,20,116,22,158,1167,
92075b330a30b9883f466a43d3f7566ab849f91b,2024-05-21 09:28:30,1211,20,116,22,158,1167,
aa1461b68aa73e2f6ec0e78c8853b635c76fd099,2024-05-21 05:42:49,1211,20,116,22,158,1167,
970e8cec988421bd43da57350723b05c8ce8dc7e,2024-05-20 15:02:29,1211,20,116,22,158,1167,
d6ebc4a2f1f68b7e355fb7e4dd5ffc0845547f9f,2024-05-20 08:46:49,1211,20,116,22,158,1167,
9a40d1277807f0a4f26c9a37eea8ec90faa8aadc,2024-05-15 14:07:26,1211,20,116,22,158,1167,
555b870eb19d497ddb67042645420083ec8efb02,2024-05-14 15:26:04,1211,20,116,22,158,1167,
bf24b7d8d17da34be720c19e5978b2d3bf94a53b,2024-05-12 22:08:24,1211,20,116,22,158,1167,
2d5f54779ad174035c5437b3b3c1146b0eaf60fe,2024-04-23 10:50:19,1211,20,116,22,158,1167,
60047ade64b0b882cbc94e047198818ab580911e,2024-04-15 16:40:35,1211,20,116,22,158,1167,
cc23d1c6445d61c1e6905cae4861d6e3c3244274,2024-04-11 21:10:36,1211,20,116,22,158,1167,
e45b428960ff3927812fc9b555e2ac627ba95769,2024-04-08 21:48:24,1211,20,116,22,158,1167,
2daa7b52a78984ab5e66358052fc8dfe93e251bd,2024-04-01 17:00:20,1211,20,116,22,158,1167,
13d892bdbe9a2aa374959a166e8067c35253705d,2024-03-18 22:33:17,1211,20,116,22,158,1167,
1604e20fc87ce212cf3a02474a6d7509b640cbbb,2024-03-18 15:36:36,1210,20,116,22,158,1166,
a94e9b5308ffcc3d2913ab873e9810a6601a67da,2024-03-14 06:06:22,1210,20,116,22,158,1166,
c0813a2d910ea6b4f8438b91d315b8d181302356,2024-03-06 11:28:13,1210,20,116,22,158,1166,
a0e79bad059f2d0e6d3c00a2a7311acb2bef4d67,2024-02-23 10:26:21,1210,20,116,22,158,1166,
